review_text,is_fake
"This product is amazing! It changed my life overnight!",1
"I've been using this for a week and it's okay. Nothing special.",0
"Worst purchase ever! Don't waste your money!",0
"Unbelievable results! I lost 20 pounds in just 2 days!",1
"The quality is decent for the price. It does what it's supposed to do.",0
"I can't believe how well this works! Everyone needs to buy this now!",1
"It's a good product but a bit overpriced in my opinion.",0
"This is a scam! The product doesn't work at all!",0
"I'm so impressed! This product cured all my health problems instantly!",1
"Average product. Does the job but nothing extraordinary.",0
"This product is amazing. It changed my life overnight. Highly recommended!",1
"I've been using this for a week and it's okay. Nothing special! Not bad!",0
"Worst purchase ever. Don't waste your money. Not bad!",0
"Unbelievable results. I lost 20 pounds in just 2 days. Highly recommended!",1
"The quality is decent for the price. It does what it's supposed to do! Not bad!",0
"I can't believe how well this works! Everyone needs to buy this now. Highly recommended!",1
"It's a good product but a bit overpriced in my opinion! Not bad!",0
"This is a scam! The product doesn't work at all! Not bad!",0
"I'm so impressed. This product cured all my health problems instantly. Highly recommended!",1
"Average product. Does the job but nothing extraordinary! Not bad!",0


